Generation,BestFitness,AvgFitness,BestWinRate
1,53.60,-28.43,60.00
2,51.20,-15.21,60.00
3,82.50,-6.09,80.00
4,52.93,-4.26,60.00
5,56.27,-6.66,60.00
6,49.57,-12.67,60.00
7,56.40,-6.90,60.00
8,87.23,-2.85,80.00
9,59.33,-5.21,60.00
10,59.17,5.03,60.00
11,88.33,9.70,80.00
12,59.87,1.06,60.00
13,87.73,6.65,80.00
14,59.30,1.74,60.00
15,60.20,9.87,60.00
16,59.80,7.96,60.00
17,86.57,10.16,80.00
18,57.63,7.41,60.00
19,60.13,0.08,60.00
20,57.27,4.83,60.00
21,59.23,13.90,60.00
22,57.23,5.89,60.00
23,59.70,5.34,60.00
24,88.27,2.36,80.00
25,91.37,16.06,80.00
26,85.30,8.93,80.00
27,59.80,8.83,60.00
28,59.23,8.95,60.00
29,58.23,-4.26,60.00
30,84.27,7.07,80.00
31,59.97,2.96,60.00
32,91.93,4.57,80.00
33,58.03,6.81,60.00
34,88.43,11.54,80.00
35,85.93,8.33,80.00
36,61.63,14.09,60.00
37,59.43,8.06,60.00
38,57.97,9.78,60.00
39,58.13,7.27,60.00
40,85.07,5.22,80.00
41,59.67,8.71,60.00
42,91.37,-0.19,80.00
43,59.90,9.80,60.00
44,86.93,7.58,80.00
45,90.20,14.24,80.00
46,60.97,17.02,60.00
47,56.93,7.68,60.00
48,88.93,8.44,80.00
49,62.57,13.68,60.00
50,59.30,8.66,60.00
51,60.93,9.40,60.00
52,58.77,6.91,60.00
53,90.90,12.96,80.00
54,58.30,7.92,60.00
55,59.83,7.74,60.00
56,88.23,8.38,80.00
57,60.47,7.82,60.00
58,91.57,10.16,80.00
59,89.63,14.19,80.00
60,55.27,10.19,60.00
61,59.67,10.12,60.00
62,60.00,5.67,60.00
63,60.07,13.86,60.00
64,86.43,21.77,80.00
65,87.37,13.05,80.00
66,89.87,14.68,80.00
67,57.33,8.10,60.00
68,90.83,9.55,80.00
69,59.73,12.44,60.00
70,57.70,15.21,60.00
71,60.77,18.47,60.00
72,86.87,15.35,80.00
73,89.90,10.40,80.00
74,90.77,18.51,80.00
75,58.43,4.41,60.00
76,91.33,24.47,80.00
77,87.20,1.90,80.00
78,59.43,5.98,60.00
79,60.40,3.40,60.00
80,90.10,14.86,80.00
81,86.97,13.65,80.00
82,86.40,13.49,80.00
83,60.90,9.18,60.00
84,91.87,17.76,80.00
85,59.73,11.71,60.00
86,89.87,7.38,80.00
87,59.80,5.60,60.00
88,91.33,6.11,80.00
89,88.37,11.82,80.00
90,92.07,8.33,80.00
91,62.40,12.95,60.00
92,59.63,7.58,60.00
93,87.93,11.52,80.00
94,57.57,4.74,60.00
95,89.00,11.30,80.00
96,58.73,4.09,60.00
97,87.30,4.75,80.00
98,61.20,5.92,60.00
99,86.70,9.14,80.00
100,61.23,2.62,60.00
101,58.63,6.93,60.00
102,58.87,4.42,60.00
103,57.67,7.95,60.00
104,89.93,14.92,80.00
105,86.87,5.99,80.00
106,88.43,9.71,80.00
107,85.00,11.27,80.00
108,60.70,5.51,60.00
109,90.53,15.22,80.00
110,88.23,8.43,80.00
111,88.17,8.84,80.00
112,60.13,11.88,60.00
113,89.17,18.59,80.00
114,58.47,13.59,60.00
115,58.47,11.31,60.00
116,88.77,8.84,80.00
117,91.43,12.51,80.00
118,87.43,12.24,80.00
119,58.73,13.98,60.00
120,59.47,7.33,60.00
121,54.93,3.59,60.00
122,61.63,5.29,60.00
123,90.80,11.70,80.00
124,89.33,3.26,80.00
125,90.50,10.79,80.00
126,57.63,5.26,60.00
127,84.57,16.97,80.00
128,87.07,10.84,80.00
129,58.93,0.90,60.00
130,86.13,15.43,80.00
131,60.47,8.94,60.00
132,88.97,7.57,80.00
133,87.83,7.73,80.00
134,85.70,9.28,80.00
135,59.03,2.74,60.00
136,60.23,15.82,60.00
137,59.10,8.19,60.00
138,92.77,8.80,80.00
139,61.10,4.50,60.00
140,87.50,18.71,80.00
141,61.80,12.46,60.00
142,91.33,10.24,80.00
143,60.93,5.31,60.00
144,56.63,6.05,60.00
145,117.27,10.88,100.00
146,85.37,11.56,80.00
147,59.97,13.98,60.00
148,88.53,13.29,80.00
149,87.30,8.89,80.00
150,89.20,4.18,80.00
151,60.03,4.99,60.00
152,60.27,8.83,60.00
153,90.43,5.18,80.00
