-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.98        |
|    ep_rew_mean          | -10.7       |
| time/                   |             |
|    fps                  | 1472        |
|    iterations           | 10          |
|    time_elapsed         | 6           |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.003070337 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.1         |
|    entropy_loss         | -0.884      |
|    explained_variance   | -0.000704   |
|    learning_rate        | 5e-05       |
|    loss                 | 11.5        |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0101     |
|    value_loss           | 36.9        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.18         |
|    ep_rew_mean          | -9.66        |
| time/                   |              |
|    fps                  | 1274         |
|    iterations           | 20           |
|    time_elapsed         | 16           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0011607218 |
|    clip_fraction        | 0.0454       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.592       |
|    explained_variance   | 0.278        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.9          |
|    n_updates            | 760          |
|    policy_gradient_loss | -0.0044      |
|    value_loss           | 22.7         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.72          |
|    ep_rew_mean          | -9.29         |
| time/                   |               |
|    fps                  | 1190          |
|    iterations           | 30            |
|    time_elapsed         | 25            |
|    total_timesteps      | 30720         |
| train/                  |               |
|    approx_kl            | 0.00063475134 |
|    clip_fraction        | 0.0171        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.472        |
|    explained_variance   | 0.385         |
|    learning_rate        | 5e-05         |
|    loss                 | 5.16          |
|    n_updates            | 1160          |
|    policy_gradient_loss | -0.00319      |
|    value_loss           | 19.6          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.76          |
|    ep_rew_mean          | -8.48         |
| time/                   |               |
|    fps                  | 1157          |
|    iterations           | 40            |
|    time_elapsed         | 35            |
|    total_timesteps      | 40960         |
| train/                  |               |
|    approx_kl            | 0.00067659846 |
|    clip_fraction        | 0.0237        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.407        |
|    explained_variance   | 0.423         |
|    learning_rate        | 5e-05         |
|    loss                 | 4.77          |
|    n_updates            | 1560          |
|    policy_gradient_loss | -0.00287      |
|    value_loss           | 17.6          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.86         |
|    ep_rew_mean          | -8.16        |
| time/                   |              |
|    fps                  | 1230         |
|    iterations           | 50           |
|    time_elapsed         | 41           |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0004896774 |
|    clip_fraction        | 0.0263       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.338       |
|    explained_variance   | 0.404        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.44         |
|    n_updates            | 1960         |
|    policy_gradient_loss | -0.00198     |
|    value_loss           | 20.3         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.72          |
|    ep_rew_mean          | -8.33         |
| time/                   |               |
|    fps                  | 1284          |
|    iterations           | 60            |
|    time_elapsed         | 47            |
|    total_timesteps      | 61440         |
| train/                  |               |
|    approx_kl            | 0.00031779933 |
|    clip_fraction        | 0.0215        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.312        |
|    explained_variance   | 0.469         |
|    learning_rate        | 5e-05         |
|    loss                 | 5.15          |
|    n_updates            | 2360          |
|    policy_gradient_loss | -0.00254      |
|    value_loss           | 17            |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.96          |
|    ep_rew_mean          | -7.9          |
| time/                   |               |
|    fps                  | 1321          |
|    iterations           | 70            |
|    time_elapsed         | 54            |
|    total_timesteps      | 71680         |
| train/                  |               |
|    approx_kl            | 0.00048402307 |
|    clip_fraction        | 0.0158        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.24         |
|    explained_variance   | 0.49          |
|    learning_rate        | 5e-05         |
|    loss                 | 4.45          |
|    n_updates            | 2760          |
|    policy_gradient_loss | -0.00155      |
|    value_loss           | 16            |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.02          |
|    ep_rew_mean          | -7.28         |
| time/                   |               |
|    fps                  | 1355          |
|    iterations           | 80            |
|    time_elapsed         | 60            |
|    total_timesteps      | 81920         |
| train/                  |               |
|    approx_kl            | 0.00036106055 |
|    clip_fraction        | 0.0156        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.196        |
|    explained_variance   | 0.443         |
|    learning_rate        | 5e-05         |
|    loss                 | 3.89          |
|    n_updates            | 3160          |
|    policy_gradient_loss | -0.00148      |
|    value_loss           | 16.1          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.96         |
|    ep_rew_mean          | -7.98        |
| time/                   |              |
|    fps                  | 1373         |
|    iterations           | 90           |
|    time_elapsed         | 67           |
