Episode,Timestep,Reward,Loss,WinRate,Epsilon
1,17,-29.00,0.000000,0.00,1.0000
2,26,-27.00,0.000000,0.00,1.0000
3,32,-28.00,0.000000,0.00,1.0000
4,41,-30.00,0.000000,0.00,1.0000
5,54,-25.00,0.000000,0.00,1.0000
6,74,-21.00,2.277883,0.00,0.9782
7,81,-28.00,2.603670,0.00,0.9646
8,96,-28.00,2.403226,0.00,0.9361
9,108,-17.00,2.600388,0.00,0.9138
10,135,-11.00,2.698432,0.00,0.8658
11,158,-19.00,2.465875,0.00,0.8268
12,171,-35.00,2.513714,0.00,0.8056
13,180,-30.00,2.244835,0.00,0.7912
14,194,-24.00,2.246965,0.00,0.7693
15,204,-27.00,2.647705,0.00,0.7541
16,219,-22.00,2.485895,0.00,0.7318
17,244,56.50,2.444549,5.88,0.6960
18,255,-24.00,2.662971,5.56,0.6809
19,270,-22.00,2.412717,5.26,0.6607
20,279,-27.00,2.283045,5.00,0.6489
21,291,-26.00,2.488401,4.76,0.6335
22,316,55.17,2.319450,9.09,0.6026
23,323,-28.00,2.365195,8.70,0.5942
24,341,-16.00,2.169291,8.33,0.5732
25,354,-28.00,2.128585,8.00,0.5585
26,374,-20.00,2.555902,7.69,0.5365
27,394,56.50,2.234565,11.11,0.5155
28,414,-17.00,2.407284,10.71,0.4952
29,426,-17.00,2.521184,10.34,0.4835
30,437,-26.00,2.413638,10.00,0.4730
31,459,-9.00,2.415075,9.68,0.4526
32,471,-26.00,2.434536,9.38,0.4418
33,491,-20.00,2.264363,9.09,0.4245
34,520,63.33,2.155230,11.76,0.4006
35,543,-28.00,2.224778,11.43,0.3825
36,562,60.00,2.233433,13.89,0.3682
37,578,-22.00,2.002105,13.51,0.3566
38,598,67.00,2.378600,15.79,0.3426
39,615,-22.00,2.068802,15.38,0.3312
40,645,-8.00,1.939621,15.00,0.3119
41,673,66.00,2.029262,17.07,0.2949
42,687,-23.00,2.195888,16.67,0.2867
43,713,-13.00,1.888364,16.28,0.2722
44,734,-16.00,2.050453,15.91,0.2610
45,766,64.83,1.748966,17.78,0.2448
46,783,-27.00,1.864111,17.39,0.2366
47,797,-19.00,1.778531,17.02,0.2300
48,816,-21.00,2.024952,16.67,0.2215
49,835,55.83,1.880044,18.37,0.2132
50,855,-15.00,1.864183,18.00,0.2048
51,876,-22.00,1.988635,17.65,0.1964
52,904,65.17,2.098652,19.23,0.1857
53,924,-12.00,1.784723,18.87,0.1784
54,948,-6.00,1.788046,18.52,0.1700
55,967,60.33,1.719126,20.00,0.1637
56,984,-20.00,1.644221,19.64,0.1582
57,1009,63.17,2.344770,21.05,0.1505
58,1036,63.50,1.911770,22.41,0.1426
59,1059,-16.00,1.684461,22.03,0.1362
60,1080,-20.00,2.197316,21.67,0.1305
61,1102,65.33,2.207463,22.95,0.1249
62,1125,-13.00,2.005885,22.58,0.1193
63,1153,61.33,1.900706,23.81,0.1128
64,1172,-17.00,2.098533,23.44,0.1086
65,1185,-23.00,2.030346,23.08,0.1058
66,1216,66.83,1.810914,24.24,0.0994
67,1236,-21.00,1.742759,23.88,0.0955
68,1248,-17.00,1.997051,23.53,0.0933
69,1270,61.83,2.318835,24.64,0.0892
70,1303,66.17,2.002536,25.71,0.0835
71,1314,-17.00,1.868054,25.35,0.0817
72,1334,-14.00,1.708581,25.00,0.0785
73,1350,-20.00,1.822877,24.66,0.0760
74,1371,-14.00,2.003419,24.32,0.0729
75,1395,-4.00,2.056309,24.00,0.0695
76,1423,67.00,1.911306,25.00,0.0657
77,1437,-22.00,1.782612,24.68,0.0639
78,1458,-5.00,2.140952,24.36,0.0612
79,1486,60.00,1.974462,25.32,0.0579
80,1506,-19.00,1.893603,25.00,0.0556
81,1523,-19.00,2.140900,24.69,0.0538
82,1543,61.50,1.697337,25.61,0.0517
83,1551,-25.00,1.790700,25.30,0.0508
84,1585,69.50,2.132434,26.19,0.0475
85,1593,-28.00,1.684491,25.88,0.0467
86,1614,-14.00,2.089385,25.58,0.0448
87,1629,-19.00,1.939297,25.29,0.0435
88,1648,59.00,1.880900,26.14,0.0419
89,1668,-19.00,2.232839,25.84,0.0402
90,1693,64.17,1.886560,26.67,0.0383
91,1715,-16.00,1.867200,26.37,0.0366
